Name,Provider ID,External ID,Cloud Platform,Subscription,Subscription ID,Projects,Region,Tags,Resource Type,Native Type,Last Seen
xz-utils-dani,arn:aws:ec2:us-east-2:001791986277:instance/i-025a8ea0f4a63a33c,i-025a8ea0f4a63a33c,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",us-east-2,"{""Name"": ""xz-utils-dani""}",VIRTUAL_MACHINE,virtualMachine,2024-10-30T20:04:58Z
elad-instance,ocid1.instance.oc1.iad.anuwcljr356jruicwxh36ulmezjuzjrqci52wx6axjzzboma7sss5xojtwaa,ocid1.instance.oc1.iad.anuwcljr356jruicwxh36ulmezjuzjrqci52wx6axjzzboma7sss5xojtwaa,OCI,comp2_1,ocid1.compartment.oc1..aaaaaaaakausarjntglzjwk62q2ueuqwx3iq73wiflpluqpl3pfr7al5ar6q,"Acme,Acme Oracle App,OCI demo",us-ashburn-1,"{""Oracle-Tags.CreatedBy"": ""elad.gabay@wiz.io"", ""Oracle-Tags.CreatedOn"": ""2021-11-21T10:42:41.627Z""}",VIRTUAL_MACHINE,oci#computeInstance,2024-10-30T19:04:16Z
oke-c6u3lkfgeeq-nma5n4ppx3q-sy5gqfcddhq-0,ocid1.instance.oc1.iad.anuwcljr356jruicf72kqslpia6gi7pc6akh3rdm5q5dzhgrlyrxihz55z6q,ocid1.instance.oc1.iad.anuwcljr356jruicf72kqslpia6gi7pc6akh3rdm5q5dzhgrlyrxihz55z6q,OCI,playgroundwiz,ocid1.tenancy.oc1..aaaaaaaagigkayqhmlcvctybckug2tjwur5y64prmbvpdzsnwxjqu6noxm2a,"Acme,Acme Oracle App,OCI demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",us-ashburn-1,"{""OKEnodePoolName"": ""pool1"", ""Oracle-Tags.CreatedBy"": ""oke"", ""Oracle-Tags.CreatedOn"": ""2022-09-07T11:33:22.361Z""}",VIRTUAL_MACHINE,oci#computeInstance,2024-10-30T19:04:08Z
router01,VirtualMachine:vm-63,730f64db-1635-4db6-8ab2-567ad1f0ccf7_VirtualMachine:vm-63,vSphere,Wiz-Demo-DC-8,730f64db-1635-4db6-8ab2-567ad1f0ccf7_Datacenter:datacenter-3,Vsphere Env,,{},VIRTUAL_MACHINE,vsphere#virtualMachine,2024-10-30T18:50:25Z
RedHat7.4-enterprise-creds,e6b9b195-e331-4dae-aefc-63849838b43b,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/creds-internal-storage/providers/microsoft.compute/virtualmachines/redhat7.4-enterprise-creds,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",westeurope,{},VIRTUAL_MACHINE,Microsoft.Compute/virtualMachines,2024-10-30T19:50:52Z
eks-management-server,arn:aws:ec2:eu-central-1:984186218765:instance/i-0167c7b5822dc0a61,i-0167c7b5822dc0a61,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,"{""Name"": ""eks-management-server""}",VIRTUAL_MACHINE,virtualMachine,2024-10-30T18:30:02Z
it-manage-regional-amz-linux,arn:aws:ec2:eu-central-1:984186218765:instance/i-06b3b0280c8a9ad7b,i-06b3b0280c8a9ad7b,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,"{""Name"": ""it-manage-regional-amz-linux""}",VIRTUAL_MACHINE,virtualMachine,2024-10-30T18:30:06Z
RHLinux82LVMG1,7a65fffa-62cb-4fd7-8fd3-f28ab551db6c,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/us2eastrg/providers/microsoft.compute/virtualmachines/rhlinux82lvmg1,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus2,{},VIRTUAL_MACHINE,Microsoft.Compute/virtualMachines,2024-10-30T19:50:53Z
vm-with-artifacts-on-disk,arn:aws:ec2:eu-west-1:984186218765:instance/i-0d6a43ed8a825bf9b,i-0d6a43ed8a825bf9b,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-west-1,"{""Name"": ""vm-with-artifacts-on-disk""}",VIRTUAL_MACHINE,virtualMachine,2024-10-30T18:29:54Z
phpmyadmin-misconfig-dani,arn:aws:ec2:us-east-2:001791986277:instance/i-06a7b35deae9bfd73,i-06a7b35deae9bfd73,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",us-east-2,"{""Name"": ""phpmyadmin-misconfig-dani""}",VIRTUAL_MACHINE,virtualMachine,2024-10-30T20:04:58Z
karpenter,arn:aws:ec2:us-east-2:984186218765:instance/i-02dbd8b31b736bdab,i-02dbd8b31b736bdab,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-2,"{""Name"": ""karpenter"", ""aws:ec2:fleet-id"": ""fleet-9d86480e-2b37-439c-a492-a6800f03f998"", ""eks:cluster-name"": ""wiz-demo-infra"", ""eks:nodegroup-name"": ""karpenter-20230425055035901700000007"", ""aws:eks:cluster-name"": ""wiz-demo-infra"", ""aws:ec2launchtemplate:id"": ""lt-0f51a926113b6999f"", ""aws:autoscaling:groupName"": ""eks-karpenter-20230425055035901700000007-50c3db7b-5ed5-bae2-1ded-2a49c1e13e10"", ""aws:ec2launchtemplate:version"": ""7"", ""k8s.io/cluster-autoscaler/enabled"": ""true"", ""kubernetes.io/cluster/wiz-demo-infra"": ""owned"", ""k8s.io/cluster-autoscaler/wiz-demo-infra"": ""owned""}",VIRTUAL_MACHINE,virtualMachine,2024-10-30T18:30:10Z
vCLS-ad692cce-2d71-476a-a08b-88828d60dafd,VirtualMachine:vm-50,730f64db-1635-4db6-8ab2-567ad1f0ccf7_VirtualMachine:vm-50,vSphere,Wiz-Demo-DC-8,730f64db-1635-4db6-8ab2-567ad1f0ccf7_Datacenter:datacenter-3,Vsphere Env,,{},VIRTUAL_MACHINE,vsphere#virtualMachine,2024-10-30T18:50:26Z
aks-agentpool-65427491-vmss_1,10e7ef6c-5a6c-401b-95da-c0dde147fb0d,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/mc_myresourcegroup_shippingappaks_eastus/providers/microsoft.compute/virtualmachinescalesets/aks-agentpool-65427491-vmss/virtualmachines/1,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,"{""poolName"": ""agentpool"", ""orchestrator"": ""Kubernetes:1.18.14"", ""creationSource"": ""aks-aks-agentpool-65427491-vmss"", ""aksEngineVersion"": ""v0.47.0-aks-gomod-b4-aks"", ""resourceNameSuffix"": ""65427491""}",VIRTUAL_MACHINE,Microsoft.Compute/virtualMachineScaleSets/virtualMachines,2024-10-30T19:50:50Z
ECS Instance - EC2ContainerService-payment-app-cluster-4,arn:aws:ec2:eu-west-2:001791986277:instance/i-0abada750f9243838,i-0abada750f9243838,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",eu-west-2,"{""Name"": ""ECS Instance - EC2ContainerService-payment-app-cluster-4"", ""Description"": ""This instance is the part of the Auto Scaling group which was created through ECS Console"", ""aws:autoscaling:groupName"": ""EC2ContainerService-payment-app-cluster-4-EcsInstanceAsg-1T2E9BUFVPFFF"", ""aws:cloudformation:stack-id"": ""arn:aws:cloudformation:eu-west-2:001791986277:stack/EC2ContainerService-payment-app-cluster-4/9f157c20-e946-11eb-aada-02a01400fef8"", ""aws:cloudformation:logical-id"": ""EcsInstanceAsg"", ""aws:cloudformation:stack-name"": ""EC2ContainerService-payment-app-cluster-4""}",VIRTUAL_MACHINE,virtualMachine,2024-10-30T20:04:56Z
aks-nodepool1-63322859-vmss_0,d4772c36-1f9d-4cab-a1a5-6dbc6e95ce1d,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/mc_laliv_rg_lalivaks_eastus/providers/microsoft.compute/virtualmachinescalesets/aks-nodepool1-63322859-vmss/virtualmachines/0,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,"{""aks-managed-poolName"": ""nodepool1"", ""aks-managed-orchestrator"": ""Kubernetes:1.25.6"", ""aks-managed-creationSource"": ""vmssclient-aks-nodepool1-63322859-vmss"", ""aks-managed-createOperationID"": ""0a61b853-9f8d-44b7-a452-cb4389f324df"", ""aks-managed-resourceNameSuffix"": ""36730313"", ""aks-managed-kubeletIdentityClientID"": ""7e0f7179-4962-4c64-8c62-339fad22e8db""}",VIRTUAL_MACHINE,Microsoft.Compute/virtualMachineScaleSets/virtualMachines,2024-10-30T19:50:49Z
CreditProd2,arn:aws:ec2:us-west-2:001791986277:instance/i-001fbe7a036d944e1,i-001fbe7a036d944e1,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",us-west-2,"{""Name"": ""CreditProd2"", ""spotinst:aws:ec2:group:id"": ""OregonProd""}",VIRTUAL_MACHINE,virtualMachine,2024-10-30T20:04:47Z
LEMP7CentOSProd,7a43f394-98f9-48d8-90f2-a94ccaab5348,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/us2eastrg/providers/microsoft.compute/virtualmachines/lemp7centosprod,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus2,{},VIRTUAL_MACHINE,Microsoft.Compute/virtualMachines,2024-10-30T19:50:53Z
