Name,Provider ID,External ID,Cloud Platform,Subscription,Subscription ID,Projects,Region,Tags,Resource Type,Native Type,Last Seen
infra20230107002134901000000001,arn:aws:rds:us-east-2:984186218765:db:infra20230107002134901000000001,arn:aws:rds:us-east-2:984186218765:db:infra20230107002134901000000001,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-2,{},DB_SERVER,rds/PostgreSQL/instance,2024-10-30T18:30:13Z
DB3,DB3,QTREIVX#SANDBOXCONNECTOR#DB3,Snowflake,SANDBOXCONNECTOR,QTREIVX-SANDBOXCONNECTOR,Demo: Snowflake,us-east-1,{},DB_SERVER,snowflake#database,2024-10-30T19:41:04Z
phpmyadmin-misconfig-dani,,i-06a7b35deae9bfd73##CloudPlatform/DBServer##/var/lib/mysql,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",us-east-2,{},DB_SERVER,HostedTechnologyConfigurationDBServer,2024-10-30T17:15:50Z
inventory-prod,arn:aws:rds:us-east-1:001791986277:db:inventory-prod,arn:aws:rds:us-east-1:001791986277:db:inventory-prod,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",us-east-1,{},DB_SERVER,rds/Oracle/instance,2024-10-30T20:04:53Z
dapl-jd-wiz-backend-mongo,,1815630177004383198##CloudPlatform/DBServer##/var/lib/mongodb,GCP,ACME-PROD-ENV,acme-prod-env,"ACME corp,Acme,Acme GCP App,App A,EBC_Labs,GCP Demo,GCP Subscription Project ,Google Workspace _GCP Org Demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",us-central1,{},DB_SERVER,HostedTechnologyConfigurationDBServer,2024-10-30T16:57:43Z
arn:aws:elasticache:eu-central-1:984186218765:cluster:map-redis-elasticsearch-001/0001,arn:aws:elasticache:eu-central-1:984186218765:cluster:map-redis-elasticsearch-001/0001,arn:aws:elasticache:eu-central-1:984186218765:cluster:map-redis-elasticsearch-001/0001,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,{},DB_SERVER,elastiCache/Redis/instance,2024-10-30T18:30:03Z
demo-azure-pii,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/demo-azure-pii/providers/microsoft.dbformysql/flexibleservers/demo-azure-pii,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/demo-azure-pii/providers/microsoft.dbformysql/flexibleservers/demo-azure-pii,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,{},DB_SERVER,Microsoft.DBforMySQL/flexibleServers,2024-10-30T19:49:18Z
database-2-conf,arn:aws:rds:us-east-2:984186218765:db:database-2-conf,arn:aws:rds:us-east-2:984186218765:db:database-2-conf,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-2,{},DB_SERVER,rds/PostgreSQL/instance,2024-10-30T18:30:13Z
weakpasswordexample,arn:aws:rds:us-west-2:984186218765:db:weakpasswordexample,arn:aws:rds:us-west-2:984186218765:db:weakpasswordexample,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-west-2,{},DB_SERVER,rds/MySQL/instance,2024-10-30T18:30:07Z
mqpppw-wiz-sensitive,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/testmattan/providers/microsoft.sql/servers/mqpppw-wiz-sensitive,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/testmattan/providers/microsoft.sql/servers/mqpppw-wiz-sensitive,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,{},DB_SERVER,Microsoft.Sql/servers,2024-10-30T19:50:30Z
rhel-7-1,,9011819985625081932##CloudPlatform/DBServer##/var/lib/mongo,GCP,ACME-PROD-ENV,acme-prod-env,"ACME corp,Acme,Acme GCP App,App A,EBC_Labs,GCP Demo,GCP Subscription Project ,Google Workspace _GCP Org Demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",us-central1,{},DB_SERVER,HostedTechnologyConfigurationDBServer,2024-10-30T16:52:48Z
paymentsql-doq221,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/newpaymentapp/providers/microsoft.sql/servers/paymentsql-doq221,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/newpaymentapp/providers/microsoft.sql/servers/paymentsql-doq221,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,{},DB_SERVER,Microsoft.Sql/servers,2024-10-30T19:50:41Z
AlonTestDBPermissions,23444,23444,Linode,B5F41BA9-0189-4534-B39B0BC67FB732F3,B5F41BA9-0189-4534-B39B0BC67FB732F3,,us-southeast,{},DB_SERVER,linode/databases/mysql,2024-10-30T19:42:32Z
database-credit-info-instance-1,arn:aws:rds:us-west-1:001791986277:db:database-credit-info-instance-1,arn:aws:rds:us-west-1:001791986277:db:database-credit-info-instance-1,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",us-west-1,{},DB_SERVER,rds/AmazonAuroraMySQL/instance,2024-10-30T20:04:56Z
MagentoGen1dev,,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/us2eastrg/providers/microsoft.compute/virtualmachines/magentogen1dev##CloudPlatform/DBServer##/opt/bitnami/mysql/data,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus2,{},DB_SERVER,HostedTechnologyConfigurationDBServer,2024-10-30T20:02:39Z
jd-synapse-wspce,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/synapseworkspace-managedrg-783ab9dd-03dd-4782-b592-91d2b7b7a887/providers/microsoft.sql/servers/jd-synapse-wspce,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/synapseworkspace-managedrg-783ab9dd-03dd-4782-b592-91d2b7b7a887/providers/microsoft.sql/servers/jd-synapse-wspce,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",westeurope,{},DB_SERVER,Microsoft.Sql/servers,2024-10-30T19:50:45Z
jd-dapl-processor,arn:aws:es:eu-central-1:984186218765:domain/jd-dapl-processor,arn:aws:es:eu-central-1:984186218765:domain/jd-dapl-processor,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,"{""Wiz"": ""Check""}",DB_SERVER,elasticSearchService,2024-10-30T18:30:01Z
SNOWFLAKE,SNOWFLAKE,QTREIVX#SANDBOXCONNECTOR#SNOWFLAKE,Snowflake,SANDBOXCONNECTOR,QTREIVX-SANDBOXCONNECTOR,Demo: Snowflake,us-east-1,{},DB_SERVER,snowflake#database,2024-10-30T19:41:04Z
amz-mysql-5719-db-identifier,arn:aws:rds:eu-central-1:984186218765:db:amz-mysql-5719-db-identifier,arn:aws:rds:eu-central-1:984186218765:db:amz-mysql-5719-db-identifier,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,{},DB_SERVER,rds/MySQL/instance,2024-10-30T18:30:10Z
employee-information-db,arn:aws:rds:eu-central-1:984186218765:db:employee-information-db,arn:aws:rds:eu-central-1:984186218765:db:employee-information-db,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,"{""PII"": """", ""Sensitive Information"": """"}",DB_SERVER,rds/PostgreSQL/instance,2024-10-30T18:30:10Z
prod-webserv-misconfig,,i-09b3ae26fdf23398b##CloudPlatform/DBServer##/var/lib/pgsql/data,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",eu-west-2,{},DB_SERVER,HostedTechnologyConfigurationDBServer,2024-10-30T17:15:09Z
shachar-test-db4,ocid1.autonomousdatabase.oc1.iad.anuwcljr356jruiarr7dhugo3lb6p2zvxmg7el2vve5suvdd6iaq23yhjntq,ocid1.autonomousdatabase.oc1.iad.anuwcljr356jruiarr7dhugo3lb6p2zvxmg7el2vve5suvdd6iaq23yhjntq,OCI,playgroundwiz,ocid1.tenancy.oc1..aaaaaaaagigkayqhmlcvctybckug2tjwur5y64prmbvpdzsnwxjqu6noxm2a,"Acme,Acme Oracle App,OCI demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",us-ashburn-1,"{""Oracle-Tags.CreatedBy"": ""okta/shachar.horvitz@wiz.io"", ""Oracle-Tags.CreatedOn"": ""2024-05-22T12:14:40.321Z""}",DB_SERVER,oci#autonomousDatabase,2024-10-30T19:04:08Z
WIZ_DB1,WIZ_DB1,QTREIVX#SANDBOXCONNECTOR#WIZ_DB1,Snowflake,SANDBOXCONNECTOR,QTREIVX-SANDBOXCONNECTOR,Demo: Snowflake,us-east-1,{},DB_SERVER,snowflake#database,2024-10-30T19:41:04Z
DATABASE_7,DATABASE_7,QTREIVX#SANDBOXCONNECTOR#DATABASE_7,Snowflake,SANDBOXCONNECTOR,QTREIVX-SANDBOXCONNECTOR,Demo: Snowflake,us-east-1,{},DB_SERVER,snowflake#database,2024-10-30T19:41:04Z
test-active-inactive,https://sqladmin.googleapis.com/sql/v1beta4/projects/acme-prod-env/instances/test-active-inactive,acme-prod-env__test-active-inactive,GCP,ACME-PROD-ENV,acme-prod-env,"ACME corp,Acme,Acme GCP App,App A,EBC_Labs,GCP Demo,GCP Subscription Project ,Google Workspace _GCP Org Demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",europe-west1,{},DB_SERVER,sql#instance,2024-10-30T19:25:38Z
arn:aws:elasticache:eu-central-1:984186218765:cluster:map-redis-elasticsearch-002/0001,arn:aws:elasticache:eu-central-1:984186218765:cluster:map-redis-elasticsearch-002/0001,arn:aws:elasticache:eu-central-1:984186218765:cluster:map-redis-elasticsearch-002/0001,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,{},DB_SERVER,elastiCache/Redis/instance,2024-10-30T18:30:03Z
acme-prod-env:bq_userdata_1,,acme-prod-env:bq_userdata_1,GCP,ACME-PROD-ENV,acme-prod-env,"ACME corp,Acme,Acme GCP App,App A,EBC_Labs,GCP Demo,GCP Subscription Project ,Google Workspace _GCP Org Demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",us,{},DB_SERVER,bigquery#dataset,2024-10-30T19:25:37Z
DATABASE_3,DATABASE_3,QTREIVX#SANDBOXCONNECTOR#DATABASE_3,Snowflake,SANDBOXCONNECTOR,QTREIVX-SANDBOXCONNECTOR,Demo: Snowflake,us-east-1,{},DB_SERVER,snowflake#database,2024-10-30T19:41:04Z
DB1,DB1,QTREIVX#SANDBOXCONNECTOR#DB1,Snowflake,SANDBOXCONNECTOR,QTREIVX-SANDBOXCONNECTOR,Demo: Snowflake,us-east-1,"{""TABLE_TAG"": ""most_;_important"", ""ACCOUNT_TYPE"": ""prod""}",DB_SERVER,snowflake#database,2024-10-30T19:41:04Z
SO8A3ZEH4A2RMU0Q,ocid1.autonomousdatabase.oc1.iad.anuwcljr356jruiatwqjbax2wymvhs5y2tpzr3tafseb6jphwtc2f7ytgetq,ocid1.autonomousdatabase.oc1.iad.anuwcljr356jruiatwqjbax2wymvhs5y2tpzr3tafseb6jphwtc2f7ytgetq,OCI,dev-us1,ocid1.compartment.oc1..aaaaaaaaifukx7vmktity77lstjqpg7vysb2xke24rsnpaqnbawh643hbdga,"Acme,Acme Oracle App,OCI demo",us-ashburn-1,"{""Oracle-Tags.CreatedBy"": ""okta/alon.weiss@wiz.io"", ""Oracle-Tags.CreatedOn"": ""2024-03-13T13:31:00.236Z""}",DB_SERVER,oci#autonomousDatabase,2024-10-30T19:04:15Z
DATABASE_6,DATABASE_6,QTREIVX#SANDBOXCONNECTOR#DATABASE_6,Snowflake,SANDBOXCONNECTOR,QTREIVX-SANDBOXCONNECTOR,Demo: Snowflake,us-east-1,{},DB_SERVER,snowflake#database,2024-10-30T19:41:04Z
wiz-financials-mysql,https://sqladmin.googleapis.com/sql/v1beta4/projects/acme-prod-env/instances/wiz-financials-mysql,acme-prod-env__wiz-financials-mysql,GCP,ACME-PROD-ENV,acme-prod-env,"ACME corp,Acme,Acme GCP App,App A,EBC_Labs,GCP Demo,GCP Subscription Project ,Google Workspace _GCP Org Demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",europe-west1,"{""owner"": ""jd""}",DB_SERVER,sql#instance,2024-10-30T19:25:38Z
arn:aws:elasticache:eu-central-1:984186218765:cluster:map-redis-elasticsearch-003/0001,arn:aws:elasticache:eu-central-1:984186218765:cluster:map-redis-elasticsearch-003/0001,arn:aws:elasticache:eu-central-1:984186218765:cluster:map-redis-elasticsearch-003/0001,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,{},DB_SERVER,elastiCache/Redis/instance,2024-10-30T18:30:04Z
shachar-test-db3,ocid1.autonomousdatabase.oc1.iad.anuwcljs356jruiai2azpmci266dk52nf4p2fyxuosn375pfkfxvagjwh3oa,ocid1.autonomousdatabase.oc1.iad.anuwcljs356jruiai2azpmci266dk52nf4p2fyxuosn375pfkfxvagjwh3oa,OCI,playgroundwiz,ocid1.tenancy.oc1..aaaaaaaagigkayqhmlcvctybckug2tjwur5y64prmbvpdzsnwxjqu6noxm2a,"Acme,Acme Oracle App,OCI demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",us-ashburn-1,"{""Oracle-Tags.CreatedBy"": ""okta/shachar.horvitz@wiz.io"", ""Oracle-Tags.CreatedOn"": ""2024-05-22T09:14:47.665Z""}",DB_SERVER,oci#autonomousDatabase,2024-10-30T19:04:09Z
DATABASE_1,DATABASE_1,QTREIVX#SANDBOXCONNECTOR#DATABASE_1,Snowflake,SANDBOXCONNECTOR,QTREIVX-SANDBOXCONNECTOR,Demo: Snowflake,us-east-1,{},DB_SERVER,snowflake#database,2024-10-30T19:41:04Z
database-1-instance-1,arn:aws:rds:us-east-1:984186218765:db:database-1-instance-1,arn:aws:rds:us-east-1:984186218765:db:database-1-instance-1,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-1,{},DB_SERVER,rds/AmazonAuroraPostgreSQL/instance,2024-10-30T18:30:08Z
ofer-with-apps,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/creds-internal-storage/providers/microsoft.sql/servers/ofer-with-apps,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/creds-internal-storage/providers/microsoft.sql/servers/ofer-with-apps,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,{},DB_SERVER,Microsoft.Sql/servers,2024-10-30T19:50:38Z
DB2,DB2,QTREIVX#SANDBOXCONNECTOR#DB2,Snowflake,SANDBOXCONNECTOR,QTREIVX-SANDBOXCONNECTOR,Demo: Snowflake,us-east-1,{},DB_SERVER,snowflake#database,2024-10-30T19:41:04Z
ofer-vit,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/testmattan/providers/microsoft.sql/servers/ofer-vit,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/testmattan/providers/microsoft.sql/servers/ofer-vit,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,{},DB_SERVER,Microsoft.Sql/servers,2024-10-30T19:50:35Z
dev-opensearch,arn:aws:es:us-east-1:984186218765:domain/dev-opensearch,arn:aws:es:us-east-1:984186218765:domain/dev-opensearch,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-1,{},DB_SERVER,elasticSearchService,2024-10-30T18:30:03Z
DB10,DB10,QTREIVX#SANDBOXCONNECTOR#DB10,Snowflake,SANDBOXCONNECTOR,QTREIVX-SANDBOXCONNECTOR,Demo: Snowflake,us-east-1,{},DB_SERVER,snowflake#database,2024-10-30T19:41:04Z
creds-internal-mysql-db-v001,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/creds-internal-storage/providers/microsoft.dbformysql/flexibleservers/creds-internal-mysql-db-v001,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/creds-internal-storage/providers/microsoft.dbformysql/flexibleservers/creds-internal-mysql-db-v001,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",westeurope,{},DB_SERVER,Microsoft.DBforMySQL/flexibleServers,2024-10-30T19:49:12Z
lorax-aurora-db-instance-1,arn:aws:rds:eu-west-2:001791986277:db:lorax-aurora-db-instance-1,arn:aws:rds:eu-west-2:001791986277:db:lorax-aurora-db-instance-1,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",eu-west-2,{},DB_SERVER,rds/AmazonAuroraMySQL/instance,2024-10-30T20:04:57Z
maxw-ppl,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/developer-prod/providers/microsoft.sql/servers/maxw-ppl,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/developer-prod/providers/microsoft.sql/servers/maxw-ppl,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,"{""owner"": ""JD"", ""Maintainer"": ""JD""}",DB_SERVER,Microsoft.Sql/servers,2024-10-30T19:50:27Z
test-id-c1,,acme-prod-env__test-id__test-id-c1,GCP,ACME-PROD-ENV,acme-prod-env,"ACME corp,Acme,Acme GCP App,App A,EBC_Labs,GCP Demo,GCP Subscription Project ,Google Workspace _GCP Org Demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",europe-west2,"{""type"": ""Production"", ""testkey1"": ""testvalue1"", ""testkey2"": ""testvalue2""}",DB_SERVER,bigtable#cluster,2024-10-30T19:25:38Z
database-1-instance-1,arn:aws:rds:eu-central-1:984186218765:db:database-1-instance-1,arn:aws:rds:eu-central-1:984186218765:db:database-1-instance-1,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,{},DB_SERVER,rds/AmazonNeptune/instance,2024-10-30T18:30:10Z
FinanceApp-FE,,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/demoresources-shared-rg-01/providers/microsoft.compute/virtualmachines/financeapp-fe##CloudPlatform/DBServer##/var/lib/mysql,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,{},DB_SERVER,HostedTechnologyConfigurationDBServer,2024-10-30T20:04:46Z
demo-postgres-server,,i-062a088b61cedc373##CloudPlatform/DBServer##/var/lib/pgsql/11/data,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,{},DB_SERVER,HostedTechnologyConfigurationDBServer,2024-10-30T18:38:41Z
guysi-test,ocid1.autonomousdatabase.oc1.iad.anuwcljt356jruiardzht6lwlkbqlt5xpgxehk6dkbbsel2xuj6lq4vxj4fq,ocid1.autonomousdatabase.oc1.iad.anuwcljt356jruiardzht6lwlkbqlt5xpgxehk6dkbbsel2xuj6lq4vxj4fq,OCI,playgroundwiz,ocid1.tenancy.oc1..aaaaaaaagigkayqhmlcvctybckug2tjwur5y64prmbvpdzsnwxjqu6noxm2a,"Acme,Acme Oracle App,OCI demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",us-ashburn-1,"{""Oracle-Tags.CreatedBy"": ""okta/guy.silberman@wiz.io"", ""Oracle-Tags.CreatedOn"": ""2024-06-16T13:19:43.761Z""}",DB_SERVER,oci#autonomousDatabase,2024-10-30T19:04:08Z
Postgresql-EASM-Demo,,i-0fca59c15f1e96176##CloudPlatform/DBServer##/var/lib/pgsql/data,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",us-east-2,{},DB_SERVER,HostedTechnologyConfigurationDBServer,2024-10-30T17:15:32Z
postgre-ins,https://sqladmin.googleapis.com/sql/v1beta4/projects/acme-prod-env/instances/postgre-ins,acme-prod-env__postgre-ins,GCP,ACME-PROD-ENV,acme-prod-env,"ACME corp,Acme,Acme GCP App,App A,EBC_Labs,GCP Demo,GCP Subscription Project ,Google Workspace _GCP Org Demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",europe-west1,{},DB_SERVER,sql#instance,2024-10-30T19:25:38Z
test,arn:aws:dax:eu-central-1:984186218765:cache/test,arn:aws:dax:eu-central-1:984186218765:cache/test,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,{},DB_SERVER,dax#cache,2024-10-30T18:30:02Z
