Name,ID,Category,Classifier,Unique Matches,Total Matches,Wiz Url,Projects,Resource Name,Region,Created At,Resource Type,Resource Native Type,Resource External ID,Subscription ID,Cloud Provider,Encryption At Rest,Encryption In Transit,Resource Status,PaaS,Severity,Finding Examples
PII/Email,arn:aws:lambda:eu-north-1:984186218765:function:user-authenticator-faas##BUILTIN-1,DataCategoryPII,Email,1,1,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'762ec932-8ebe-5a06-8240-6bc3c9f3493f*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 6f07690e-5c6c-5d43-8fa9-fe14c391f4e3, a88031c9-47d9-5d28-a5a3-bc58defaec94, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, e2e96170-bf20-5bb4-94c6-177b506a8b83",user-authenticator-faas,eu-north-1,2024-06-30T16:22:00.577767Z,CloudPlatform/Serverless,lambda,arn:aws:lambda:eu-north-1:984186218765:function:user-authenticator-faas,984186218765,AWS,false,false,Active,false,MEDIUM,"[{""path"":""/layers/index/0/codeSha256/205530b0cbf00ab2e23dd8800a71c990ec12f961b9eacf32932d58782a15d7ce/gcp-key.json"",""key"":""client_email"",""value"":""t***@test-gcp-project.iam.gserviceaccount.com"",""evidenceId"":""095f78ae2ccf799da703a50b405679b3"",""contentSizeBytes"":2343}]"
PII/Email,arn:aws:lambda:us-east-1:001791986277:function:test-gcp##BUILTIN-1,DataCategoryPII,Email,1,1,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'d57f7691-d229-5841-9da2-b2e7417c79b1*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 218465d4-ed90-5f33-a22a-fb93f4e9b489, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, a88031c9-47d9-5d28-a5a3-bc58defaec94, cceb83bf-814e-5686-9ee2-6bc43bc836b7, e2e96170-bf20-5bb4-94c6-177b506a8b83",test-gcp,us-east-1,2024-07-01T04:27:00.511438Z,CloudPlatform/Serverless,lambda,arn:aws:lambda:us-east-1:001791986277:function:test-gcp,001791986277,AWS,false,false,Active,false,MEDIUM,"[{""path"":""/clientLibraryConfig-demo-prov.json"",""key"":""service_account_impersonation_url"",""value"":""t***@liorsonntag-training-project.iam.gserviceaccount.com"",""evidenceId"":""9c3914d7f75a61f1b7b8ef83097fb237"",""contentSizeBytes"":829}]"
PII/Gender,wiz-attack-simulation-bucket-b0662b50##BUILTIN-20,DataCategoryPII,Gender,2,860,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'fc1a0304-b5d3-57d0-bf9e-b247a8cf7cb6*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 6f07690e-5c6c-5d43-8fa9-fe14c391f4e3, a88031c9-47d9-5d28-a5a3-bc58defaec94, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, e2e96170-bf20-5bb4-94c6-177b506a8b83",wiz-attack-simulation-bucket-b0662b50,eu-central-1,2024-04-04T22:26:14.58377Z,CloudPlatform/Bucket,bucket,wiz-attack-simulation-bucket-b0662b50,984186218765,AWS,true,false,Active,false,INFO,"[{""path"":""dummy_data.txt"",""key"":""gender"",""value"":""M***"",""evidenceId"":""04a865a655b23ebfce336d7d2aab7506"",""contentSizeBytes"":79062}]"
PII/Name,wiz-attack-simulation-bucket-b0662b50##BUILTIN-125,DataCategoryPII,Name,37,37,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'fd46f2b3-f11f-5a7f-b50f-ca445287d1d4*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 6f07690e-5c6c-5d43-8fa9-fe14c391f4e3, a88031c9-47d9-5d28-a5a3-bc58defaec94, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, e2e96170-bf20-5bb4-94c6-177b506a8b83",wiz-attack-simulation-bucket-b0662b50,eu-central-1,2024-04-04T22:26:14.617192Z,CloudPlatform/Bucket,bucket,wiz-attack-simulation-bucket-b0662b50,984186218765,AWS,true,false,Active,false,HIGH,"[{""path"":""dummy_data.txt"",""key"":""first_name/last_name"",""value"":""Os***d *****n"",""evidenceId"":""185e7b33e48ab67e8b2716b8528d32c1"",""contentSizeBytes"":79062}]"
PII/Gender,arn:aws:rds:eu-west-2:001791986277:db:djq-transactions-db##BUILTIN-20,DataCategoryPII,Gender,2,289,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'d23f04f1-8aa9-52d9-b8ac-9f62aa8d266d*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 218465d4-ed90-5f33-a22a-fb93f4e9b489, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, a88031c9-47d9-5d28-a5a3-bc58defaec94, cceb83bf-814e-5686-9ee2-6bc43bc836b7, e2e96170-bf20-5bb4-94c6-177b506a8b83",djq-transactions-db,eu-west-2,2024-04-15T10:39:14.150463Z,CloudPlatform/DBServer,rds/PostgreSQL/instance,arn:aws:rds:eu-west-2:001791986277:db:djq-transactions-db,001791986277,AWS,true,false,Active,true,INFO,"[{""path"":""persons.public.personsrecords"",""key"":""Gender"",""location"":""Gender"",""value"":""*"",""evidenceId"":""395ae7d0d58847549d4bd1aa9a5cf6c5""}]"
Financial/Financial Balance,arn:aws:rds:eu-west-2:001791986277:db:djq-transactions-db##BUILTIN-440,DataCategoryFinancial,Financial Balance,521,934,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'1ff4f0e0-2bc7-59ef-ba6e-c0f408cbecf2*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 218465d4-ed90-5f33-a22a-fb93f4e9b489, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, a88031c9-47d9-5d28-a5a3-bc58defaec94, cceb83bf-814e-5686-9ee2-6bc43bc836b7, e2e96170-bf20-5bb4-94c6-177b506a8b83",djq-transactions-db,eu-west-2,2024-06-16T14:26:09.383263Z,CloudPlatform/DBServer,rds/PostgreSQL/instance,arn:aws:rds:eu-west-2:001791986277:db:djq-transactions-db,001791986277,AWS,true,false,Active,true,MEDIUM,"[{""path"":""btrecords.public.records"",""key"":""Balance"",""location"":""Balance"",""value"":""99**8****3"",""evidenceId"":""d0d0b52e090fb4cf61b06c567e3df5ff""}]"
Other/DMP Files - Authentication and Credential Processes,i-0293e34099f41bdfa##BUILTIN-9005,DataCategoryOther,DMP Files - Authentication and Credential Processes,1,1,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'25c70743-64c3-56f1-aca1-f87a1a2a58d4*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 218465d4-ed90-5f33-a22a-fb93f4e9b489, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, a88031c9-47d9-5d28-a5a3-bc58defaec94, cceb83bf-814e-5686-9ee2-6bc43bc836b7, e2e96170-bf20-5bb4-94c6-177b506a8b83",dani-win-crashdump,us-east-2,2023-12-11T14:18:47.97271Z,CloudPlatform/VirtualMachine,virtualMachine,i-0293e34099f41bdfa,001791986277,AWS,false,false,Active,false,INFO,"[{""path"":""C:\\Users\\Administrator\\AppData\\Local\\Temp\\lsass.DMP"",""evidenceId"":""adcfff5552ec2e89dbf6390b992c7631"",""contentSizeBytes"":44063468}]"
DigitalIdentity/User Agent,i-0d1fcc47eba0c3db2##BUILTIN-459,DataCategoryDigitalIdentity,User Agent,2,5,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'3e18e87f-488d-57e9-9a6b-5d31ba1b19c5*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 6f07690e-5c6c-5d43-8fa9-fe14c391f4e3, a88031c9-47d9-5d28-a5a3-bc58defaec94, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, e2e96170-bf20-5bb4-94c6-177b506a8b83",Res-Ubuntu-16.04,eu-central-1,2024-08-13T09:34:37.956059Z,CloudPlatform/VirtualMachine,virtualMachine,i-0d1fcc47eba0c3db2,984186218765,AWS,false,false,Active,false,INFO,"[{""path"":""/home/ubuntu/repos/WebGoat/webgoat-lessons/jwt/src/main/resources/images/logs.txt"",""value"":""Mo***la**...**36 (115 chars)"",""evidenceId"":""1fbdbb4d631b6f3ad2e96f6bb7c8a8b8"",""contentSizeBytes"":1155}]"
Financial/Credit Score,wiz-cassandra-s3##BUILTIN-177,DataCategoryFinancial,Credit Score,10,10,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'9b20f464-2723-5462-b696-ab735fc2ef10*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 6f07690e-5c6c-5d43-8fa9-fe14c391f4e3, a88031c9-47d9-5d28-a5a3-bc58defaec94, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, e2e96170-bf20-5bb4-94c6-177b506a8b83",wiz-cassandra-s3,us-east-1,2024-09-20T21:45:39.759232Z,CloudPlatform/Bucket,bucket,wiz-cassandra-s3,984186218765,AWS,true,false,Active,false,LOW,"[{""path"":""50000 CC Records.csv"",""key"":""Credit Bureau"",""value"":""7**"",""evidenceId"":""3fe9ac75966c6d88d4b1ee2ff244c6a3"",""contentSizeBytes"":4419046}]"
PII/Phone Number,gs://cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5##BUILTIN-32,DataCategoryPII,Phone Number,30,30,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'070a15a1-a24e-5038-b41e-00759b0c9aba*2cDATA_FINDING)),"05c62c7a-fcb2-558a-a7b8-03b76ec9635b, 360e0519-a35c-5cb7-a353-728812b2f2e8, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, 9b55555a-89b7-55d8-8e38-0f7481b5f537, b03cf038-fd78-560d-a1b8-7b98b21e5b26, c4c12241-dbe1-5698-b8d3-e9e19e3916b8, c4f982e0-bab1-58d1-bf24-6b846310f5ca, db68f2c6-5cb9-5fd5-a47f-02da29d1ec17, e2e96170-bf20-5bb4-94c6-177b506a8b83, ee3ecda3-9c8c-555a-9399-865bf438c417",cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5,us-central1,2024-04-09T11:12:52.96274Z,CloudPlatform/Bucket,storage#bucket,gs://cloud-ai-platform-4873c122-2cc6-472f-b807-ec2bf2e637c5,acme-prod-env,GCP,true,false,Active,false,HIGH,"[{""path"":""sample-data.csv"",""key"":""phone"",""value"":""91***56****9"",""evidenceId"":""38c96047e1b75a4d3750f2f36bb8ec90"",""contentSizeBytes"":4750}]"
PII/Phone Number - Corp,arn:aws:rds:eu-west-2:001791986277:db:djq-transactions-db##CUSTOM-6ab8babd-20e8-41b2-9aa1-500638432f1d,DataCategoryPII,Phone Number - Corp,289,289,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'e73e2e65-f4a9-5e94-8399-7605f98baea5*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 218465d4-ed90-5f33-a22a-fb93f4e9b489, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, a88031c9-47d9-5d28-a5a3-bc58defaec94, cceb83bf-814e-5686-9ee2-6bc43bc836b7, e2e96170-bf20-5bb4-94c6-177b506a8b83",djq-transactions-db,eu-west-2,2024-02-11T19:03:51.977932Z,CloudPlatform/DBServer,rds/PostgreSQL/instance,arn:aws:rds:eu-west-2:001791986277:db:djq-transactions-db,001791986277,AWS,true,false,Active,true,CRITICAL,"[{""path"":""persons.public.personsrecords"",""key"":""Phone No. "",""value"":""80***70****0"",""evidenceId"":""f811f9b54f9ca6becb02e28fd6bf5344""}]"
Financial/Credit Cards,xz-utils-scenario-dbstaging-o22tdqivcb7m##BUILTIN-436,DataCategoryFinancial,Credit Cards,540,1620,https://app.wiz.io/data-findings#~(groupBy~'none~filters~()~entity~(~'6a8f43a4-f79a-59e0-b135-3b1c1a69cf99*2cDATA_FINDING)),"15d1d5b0-1067-51a7-bc53-07b39cd6f523, 218465d4-ed90-5f33-a22a-fb93f4e9b489, 43e1c873-a576-5d0c-a2f2-edbaf856faa4, 5dc6b5d2-654f-5771-8a25-5b7ce9e56ff0, a88031c9-47d9-5d28-a5a3-bc58defaec94, cceb83bf-814e-5686-9ee2-6bc43bc836b7, e2e96170-bf20-5bb4-94c6-177b506a8b83",xz-utils-scenario-dbstaging-o22tdqivcb7m,us-east-2,2024-04-13T17:33:53.7265Z,CloudPlatform/Bucket,bucket,xz-utils-scenario-dbstaging-o22tdqivcb7m,001791986277,AWS,true,false,Active,false,CRITICAL,"[{""path"":""userdata1 (1).parquet"",""key"":""Cc"",""location"":""Cc"",""value"":""***************2365"",""evidenceId"":""55b2a1924cd1851eee311dba0dbe12e6""},{""path"":""userdata2.parquet"",""key"":""Cc"",""location"":""Cc"",""value"":""************0116"",""evidenceId"":""c6ddb806e392ae2688e6870948b3d01d""},{""path"":""userdata3.parquet"",""key"":""Cc"",""location"":""Cc"",""value"":""************0116"",""evidenceId"":""54db361481755da76ac1b05f8697c076""},{""path"":""userdata1 (1).parquet"",""key"":""Cc"",""location"":""Cc"",""value"":""**********9094"",""evidenceId"":""55b2a1924cd1851eee311dba0dbe12e6""}]"
