Name,Provider ID,External ID,Cloud Platform,Subscription,Subscription ID,Projects,Region,Tags,Resource Type,Native Type,Last Seen
aws-cloudtrail-logs-001791986277-ffb9b321,arn:aws:s3:::aws-cloudtrail-logs-001791986277-ffb9b321,aws-cloudtrail-logs-001791986277-ffb9b321,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",eu-central-1,{},BUCKET,bucket,2024-10-30T20:05:13Z
scm-releases,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/wiz-remediation-demo-resources/providers/microsoft.storage/storageaccounts/wizremediationdemorbuu6t/blobservices/default/containers/scm-releases,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/wiz-remediation-demo-resources/providers/microsoft.storage/storageaccounts/wizremediationdemorbuu6t/blobservices/default/containers/scm-releases,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",northeurope,"{""wiz-remediation-demo"": ""true""}",BUCKET,Microsoft.Storage/storageAccounts/blobServices/containers,2024-10-30T19:49:03Z
wiz-demo-atlantis-aws,arn:aws:s3:::wiz-demo-atlantis-aws,wiz-demo-atlantis-aws,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-2,"{""Name"": ""wiz-demo-atlantis-aws"", ""Environment"": ""atlantis""}",BUCKET,bucket,2024-10-30T18:30:40Z
sync-bucket-test-source,arn:aws:s3:::sync-bucket-test-source,sync-bucket-test-source,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-1,"{""Classification"": ""Confidential""}",BUCKET,bucket,2024-10-30T18:30:39Z
aws-cloudtrail-logs-984186218765-38399f14,arn:aws:s3:::aws-cloudtrail-logs-984186218765-38399f14,aws-cloudtrail-logs-984186218765-38399f14,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,{},BUCKET,bucket,2024-10-30T18:30:35Z
wiz-aws-demo-account-terraform-state,arn:aws:s3:::wiz-aws-demo-account-terraform-state,wiz-aws-demo-account-terraform-state,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-1,{},BUCKET,bucket,2024-10-30T18:30:40Z
wiz-infrahq,arn:aws:s3:::wiz-infrahq,wiz-infrahq,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-2,{},BUCKET,bucket,2024-10-30T18:30:41Z
acme-prod-env_cloudbuild,https://www.googleapis.com/storage/v1/b/acme-prod-env_cloudbuild,gs://acme-prod-env_cloudbuild,GCP,ACME-PROD-ENV,acme-prod-env,"ACME corp,Acme,Acme GCP App,App A,EBC_Labs,GCP Demo,GCP Subscription Project ,Google Workspace _GCP Org Demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",us,{},BUCKET,storage#bucket,2024-10-30T19:25:39Z
guy1233,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/creds-internal-storage/providers/microsoft.storage/storageaccounts/credsaccount/blobservices/default/containers/guy1233,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/creds-internal-storage/providers/microsoft.storage/storageaccounts/credsaccount/blobservices/default/containers/guy1233,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",westeurope,{},BUCKET,Microsoft.Storage/storageAccounts/blobServices/containers,2024-10-30T19:48:54Z
cf-templates-1n9jxzo36futl-us-east-1,arn:aws:s3:::cf-templates-1n9jxzo36futl-us-east-1,cf-templates-1n9jxzo36futl-us-east-1,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-1,{},BUCKET,bucket,2024-10-30T18:30:37Z
aws-cloudtrail-logs-984186218765-02dafdd0,arn:aws:s3:::aws-cloudtrail-logs-984186218765-02dafdd0,aws-cloudtrail-logs-984186218765-02dafdd0,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-2,"{""wizRemediationLastUpdatedUTC"": ""18/08/2024 09:36:28 UTC""}",BUCKET,bucket,2024-10-30T18:30:35Z
insights-metrics-pt1m,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/defaultresourcegroup-eus/providers/microsoft.storage/storageaccounts/testmattan1/blobservices/default/containers/insights-metrics-pt1m,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/defaultresourcegroup-eus/providers/microsoft.storage/storageaccounts/testmattan1/blobservices/default/containers/insights-metrics-pt1m,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,{},BUCKET,Microsoft.Storage/storageAccounts/blobServices/containers,2024-10-30T19:48:45Z
aminov-glue-scripts,arn:aws:s3:::aminov-glue-scripts,aminov-glue-scripts,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-2,{},BUCKET,bucket,2024-10-30T18:30:35Z
creditinfo,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/newpaymentapp/providers/microsoft.storage/storageaccounts/paymentinfo/blobservices/default/containers/creditinfo,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/newpaymentapp/providers/microsoft.storage/storageaccounts/paymentinfo/blobservices/default/containers/creditinfo,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",canadacentral,"{""itayTest"": """"}",BUCKET,Microsoft.Storage/storageAccounts/blobServices/containers,2024-10-30T19:49:08Z
test_acl_george2,https://www.googleapis.com/storage/v1/b/test_acl_george2,gs://test_acl_george2,GCP,ACME-PROD-ENV,acme-prod-env,"ACME corp,Acme,Acme GCP App,App A,EBC_Labs,GCP Demo,GCP Subscription Project ,Google Workspace _GCP Org Demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",us,{},BUCKET,storage#bucket,2024-10-30T19:25:41Z
wiz-outpost-oron-v2-bucket,ocid1.bucket.oc1.iad.aaaaaaaagpn2a6ja5htfgnujudqwqhnv7rebi5k5ot4sl6tbbiehttghji5q,ocid1.bucket.oc1.iad.aaaaaaaagpn2a6ja5htfgnujudqwqhnv7rebi5k5ot4sl6tbbiehttghji5q,OCI,wiz-outpost-oron-v2,ocid1.compartment.oc1..aaaaaaaaywfdxfz5xhjfcy6tahdsfhsdjrd4ltk6erlvzfoyaekhc3bn7dsq,"Acme,Acme Oracle App,OCI demo",us-ashburn-1,"{""Oracle-Tags.CreatedBy"": ""okta/oron.noah@wiz.io"", ""Oracle-Tags.CreatedOn"": ""2022-05-01T20:56:53.492Z""}",BUCKET,oci#objectStorageBucket,2024-10-30T19:03:21Z
testmattan,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/aksenvgroup/providers/microsoft.storage/storageaccounts/testmattan11/blobservices/default/containers/testmattan,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/aksenvgroup/providers/microsoft.storage/storageaccounts/testmattan11/blobservices/default/containers/testmattan,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,{},BUCKET,Microsoft.Storage/storageAccounts/blobServices/containers,2024-10-30T19:48:42Z
gblob,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/creds-internal-storage/providers/microsoft.storage/storageaccounts/credsaccount/blobservices/default/containers/gblob,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/creds-internal-storage/providers/microsoft.storage/storageaccounts/credsaccount/blobservices/default/containers/gblob,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",westeurope,{},BUCKET,Microsoft.Storage/storageAccounts/blobServices/containers,2024-10-30T19:48:54Z
frompodimds4,arn:aws:s3:::frompodimds4,frompodimds4,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-1,"{""wizRemediationLastUpdatedUTC"": ""06/08/2024 14:18:51 UTC""}",BUCKET,bucket,2024-10-30T18:30:38Z
sagemaker-us-west-2-984186218765,arn:aws:s3:::sagemaker-us-west-2-984186218765,sagemaker-us-west-2-984186218765,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-west-2,{},BUCKET,bucket,2024-10-30T18:30:40Z
sagemaker-studio-984186218765-41i8zsnzwss,arn:aws:s3:::sagemaker-studio-984186218765-41i8zsnzwss,sagemaker-studio-984186218765-41i8zsnzwss,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-1,{},BUCKET,bucket,2024-10-30T18:30:39Z
acme-prod-env.appspot.com,https://www.googleapis.com/storage/v1/b/acme-prod-env.appspot.com,gs://acme-prod-env.appspot.com,GCP,ACME-PROD-ENV,acme-prod-env,"ACME corp,Acme,Acme GCP App,App A,EBC_Labs,GCP Demo,GCP Subscription Project ,Google Workspace _GCP Org Demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",eu,{},BUCKET,storage#bucket,2024-10-30T19:25:38Z
frompodimds2,arn:aws:s3:::frompodimds2,frompodimds2,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-1,"{""wizRemediationLastUpdatedUTC"": ""29/05/2024 10:19:16 UTC""}",BUCKET,bucket,2024-10-30T18:30:38Z
insights-logs-agenthealthstatus,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/aksenvgroup/providers/microsoft.storage/storageaccounts/testmattan11/blobservices/default/containers/insights-logs-agenthealthstatus,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/aksenvgroup/providers/microsoft.storage/storageaccounts/testmattan11/blobservices/default/containers/insights-logs-agenthealthstatus,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,{},BUCKET,Microsoft.Storage/storageAccounts/blobServices/containers,2024-10-30T19:48:42Z
bucket-20240522-1301,ocid1.bucket.oc1.iad.aaaaaaaa6kfjq77zzcjygdqpogolxesof6uahrcni3aitom25anx2ipumiqa,ocid1.bucket.oc1.iad.aaaaaaaa6kfjq77zzcjygdqpogolxesof6uahrcni3aitom25anx2ipumiqa,OCI,aminov,ocid1.compartment.oc1..aaaaaaaakdwckvimekkhloq5sohoupn2gjv46ipxyjui4flr4smfjwfyrp6q,"Acme,Acme Oracle App,OCI demo",us-ashburn-1,"{""Oracle-Tags.CreatedBy"": ""okta/michael.aminov@wiz.io"", ""Oracle-Tags.CreatedOn"": ""2024-05-22T10:01:27.518Z""}",BUCKET,oci#objectStorageBucket,2024-10-30T19:04:09Z
licht-bucket2-frankfurt,ocid1.bucket.oc1.eu-frankfurt-1.aaaaaaaayzryp3zm2hxdqmj62okoazotsyq4zf4ghfblr2cizijaftncklca,ocid1.bucket.oc1.eu-frankfurt-1.aaaaaaaayzryp3zm2hxdqmj62okoazotsyq4zf4ghfblr2cizijaftncklca,OCI,licht-comp,ocid1.compartment.oc1..aaaaaaaacwntaxqnmuvmguezefjywdsltejxvgb3gv6aqlrwuipvo7uhcggq,"Acme,Acme Oracle App,OCI demo",eu-frankfurt-1,"{""Oracle-Tags.CreatedBy"": ""okta/tal@wiz.io"", ""Oracle-Tags.CreatedOn"": ""2024-04-18T15:43:55.732Z""}",BUCKET,oci#objectStorageBucket,2024-10-30T19:03:12Z
sagemaker-studio-984186218765-s4hb2aqls,arn:aws:s3:::sagemaker-studio-984186218765-s4hb2aqls,sagemaker-studio-984186218765-s4hb2aqls,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-1,"{""wizRemediationLastUpdatedUTC"": ""27/05/2024 08:07:20 UTC""}",BUCKET,bucket,2024-10-30T18:30:39Z
eu.artifacts.acme-prod-env.appspot.com,https://www.googleapis.com/storage/v1/b/eu.artifacts.acme-prod-env.appspot.com,gs://eu.artifacts.acme-prod-env.appspot.com,GCP,ACME-PROD-ENV,acme-prod-env,"ACME corp,Acme,Acme GCP App,App A,EBC_Labs,GCP Demo,GCP Subscription Project ,Google Workspace _GCP Org Demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",eu,{},BUCKET,storage#bucket,2024-10-30T19:25:39Z
wiz-outpost-bucket,ocid1.bucket.oc1.iad.aaaaaaaazlcmvo6q2opcfyuwnncjfbuhjb3w4zjrbiwrdhfeovidtcxviyza,ocid1.bucket.oc1.iad.aaaaaaaazlcmvo6q2opcfyuwnncjfbuhjb3w4zjrbiwrdhfeovidtcxviyza,OCI,wiz-outpost,ocid1.compartment.oc1..aaaaaaaanjuumnnjqjtb33qzwtoor3of6pxpsqids4ohvev4wzcgcontoyha,"Acme,Acme Oracle App,OCI demo",us-ashburn-1,"{""Oracle-Tags.CreatedBy"": ""okta/tomer.sabag@wiz.io"", ""Oracle-Tags.CreatedOn"": ""2022-08-08T15:09:06.678Z""}",BUCKET,oci#objectStorageBucket,2024-10-30T19:04:21Z
goehring-wiz-outpost-bucket,ocid1.bucket.oc1.iad.aaaaaaaaxgt6pihgjndx57gbxhi3vw7stw6qwgsvnmghjdbyimoezg2mlwha,ocid1.bucket.oc1.iad.aaaaaaaaxgt6pihgjndx57gbxhi3vw7stw6qwgsvnmghjdbyimoezg2mlwha,OCI,goehring-wiz-outpost,ocid1.compartment.oc1..aaaaaaaag56zdzgmck2uqn24f45yyc3wppzj6pmb7icq4xqkltbhk4x4jlja,"Acme,Acme Oracle App",us-ashburn-1,"{""Oracle-Tags.CreatedBy"": ""okta/chris.goehring@wiz.io"", ""Oracle-Tags.CreatedOn"": ""2024-07-12T16:03:16.144Z""}",BUCKET,oci#objectStorageBucket,2024-10-30T19:04:10Z
wiz-attack-simulation-bucket-560579d9,arn:aws:s3:::wiz-attack-simulation-bucket-560579d9,wiz-attack-simulation-bucket-560579d9,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,"{""wizRemediationLastUpdatedUTC"": ""06/06/2024 05:56:07 UTC""}",BUCKET,bucket,2024-10-30T18:30:39Z
insights-logs-auditevent,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/defaultresourcegroup-eus/providers/microsoft.storage/storageaccounts/testmattan1/blobservices/default/containers/insights-logs-auditevent,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/defaultresourcegroup-eus/providers/microsoft.storage/storageaccounts/testmattan1/blobservices/default/containers/insights-logs-auditevent,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,{},BUCKET,Microsoft.Storage/storageAccounts/blobServices/containers,2024-10-30T19:48:45Z
s3accesslogs-984186218765-eu-central-1,arn:aws:s3:::s3accesslogs-984186218765-eu-central-1,s3accesslogs-984186218765-eu-central-1,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,{},BUCKET,bucket,2024-10-30T18:30:38Z
s3-for-ai-training-test,arn:aws:s3:::s3-for-ai-training-test,s3-for-ai-training-test,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",us-east-1,"{""wizRemediationLastUpdatedUTC"": ""06/06/2024 22:51:23 UTC""}",BUCKET,bucket,2024-10-30T18:30:39Z
elasticbeanstalk-eu-central-1-984186218765,arn:aws:s3:::elasticbeanstalk-eu-central-1-984186218765,elasticbeanstalk-eu-central-1-984186218765,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,{},BUCKET,bucket,2024-10-30T18:30:36Z
demo-hdinsight-cluster-2024-03-27t13-22-50-860z,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/demo/providers/microsoft.storage/storageaccounts/demohdinsightstorageacc/blobservices/default/containers/demo-hdinsight-cluster-2024-03-27t13-22-50-860z,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/demo/providers/microsoft.storage/storageaccounts/demohdinsightstorageacc/blobservices/default/containers/demo-hdinsight-cluster-2024-03-27t13-22-50-860z,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,{},BUCKET,Microsoft.Storage/storageAccounts/blobServices/containers,2024-10-30T19:48:35Z
creds-storage-internal,arn:aws:s3:::creds-storage-internal,creds-storage-internal,AWS,AWS Demo1,984186218765,"ACME corp,AWS demo,Acme,Acme AWS App,Acme Prod App,EBC_Labs",eu-central-1,"{""Sensitive_Data"": ""True""}",BUCKET,bucket,2024-10-30T18:30:36Z
custom-functions,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/wiz-y1wmsccq/providers/microsoft.storage/storageaccounts/wizy1wmsccqstorage/blobservices/default/containers/custom-functions,/subscriptions/fee3535b-9616-486f-a476-6a500a08a02b/resourcegroups/wiz-y1wmsccq/providers/microsoft.storage/storageaccounts/wizy1wmsccqstorage/blobservices/default/containers/custom-functions,Azure,Wiz - Demo-Scenarios,fee3535b-9616-486f-a476-6a500a08a02b,"ACME corp,Acme,Acme Azure App,App A,Azure: Wiz-Demo-Scenarios,EBC_Labs,Payment Apps,Wiz Factory Prod,Wiz Inc,Wiz Prod",eastus,"{""wiz-remediation"": ""ee923669-dba0-4159-a7dd-ef27f849c851""}",BUCKET,Microsoft.Storage/storageAccounts/blobServices/containers,2024-10-30T19:48:48Z
credit-num,arn:aws:s3:::credit-num,credit-num,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",us-west-1,{},BUCKET,bucket,2024-10-30T20:05:15Z
nsn-table,arn:aws:s3:::nsn-table,nsn-table,AWS,AWS Demo Scenarios 2,001791986277,"AWS demo,Acme,Acme AWS App,EBC_Labs,Wiz Dev,Wiz Factory Dev,Wiz Inc",us-west-1,"{""itayTest"": """"}",BUCKET,bucket,2024-10-30T20:05:16Z
staging.acme-prod-env.appspot.com,https://www.googleapis.com/storage/v1/b/staging.acme-prod-env.appspot.com,gs://staging.acme-prod-env.appspot.com,GCP,ACME-PROD-ENV,acme-prod-env,"ACME corp,Acme,Acme GCP App,App A,EBC_Labs,GCP Demo,GCP Subscription Project ,Google Workspace _GCP Org Demo,Wiz Factory Prod,Wiz Inc,Wiz Prod",eu,{},BUCKET,storage#bucket,2024-10-30T19:25:41Z
wiz-outpost-yaniv-bucket,ocid1.bucket.oc1.iad.aaaaaaaag37vlek4622drquv6ymcysi5ugonqrgchvms7t6t2txvqqxb3jma,ocid1.bucket.oc1.iad.aaaaaaaag37vlek4622drquv6ymcysi5ugonqrgchvms7t6t2txvqqxb3jma,OCI,wiz-outpost-yaniv,ocid1.compartment.oc1..aaaaaaaaxtbbpxiudzvbkbbgrm3rqypblvzqsnkalglvr46cmfx5dzr5nkpq,"Acme,Acme Oracle App,OCI demo",us-ashburn-1,"{""Oracle-Tags.CreatedBy"": ""okta/yaniv.fatal@wiz.io"", ""Oracle-Tags.CreatedOn"": ""2022-09-18T08:13:16.905Z""}",BUCKET,oci#objectStorageBucket,2024-10-30T19:03:19Z
